id	filename	md5	size	state
95e5fe95-789d-4223-b9cc-a16c7fd683c1	TCGA-LUAD.6ab7dce7-f54d-4f9e-b232-7f094e8bf05d.absolute_liftover.gene_level_copy_number.v36.tsv	2bb856c1656c5e981f5451542adb6562	3429746	released
8c9ac2ea-6123-445c-8bd4-b0ea7c681edf	TCGA-LUAD.6e3bfcae-bea1-46b3-afee-df2e3a344cd1.absolute_liftover.gene_level_copy_number.v36.tsv	07f7c1dce5cedd218caa87650cd7d602	3431066	released
b09d319f-7fba-4677-9aa2-fb2666643884	TCGA-LUAD.1afb48ce-59a8-4130-8ff6-45d29405087e.absolute_liftover.gene_level_copy_number.v36.tsv	630976396b3b5ab90aebdb4826738ff9	3437264	released
74cb107f-adc9-4aee-8381-c95831dbd4ea	TCGA-LUAD.d0597d14-df0c-413b-888f-53597d1fb61a.absolute_liftover.gene_level_copy_number.v36.tsv	09bfe6373f62a20371c09e44e0e1efe8	3431198	released
b6b74adb-31e0-4ecf-9a65-aa8a1babc46b	TCGA-LUAD.780c0b4e-e589-4cc3-b0da-ea99e908afdd.absolute_liftover.gene_level_copy_number.v36.tsv	803fcf30eb429049dc28e85fcf28923f	3432605	released
bb9a8a00-fdc7-4ed6-8dd8-47981afe9732	TCGA-LUAD.f17395cc-4dba-41b2-a123-aca5af1de185.absolute_liftover.gene_level_copy_number.v36.tsv	cf3d9b10727e21dfdd040385b28ba87c	3431969	released
be50b16c-a8c1-417a-8994-cb7cb76d4f47	TCGA-LUAD.9077c52d-8a80-4b9d-9459-9f747d092ee7.absolute_liftover.gene_level_copy_number.v36.tsv	ff8f9562f865240356fd099a6f5d727b	3433052	released
e293c29b-b720-4328-886f-8d83b97bf101	TCGA-LUAD.241b179d-c08c-4d0d-bc13-9480aa0d638a.absolute_liftover.gene_level_copy_number.v36.tsv	4399a38a194abdeb722c95038b9b2639	3436169	released
f3499ff3-eee3-4d43-bd6d-2d1a3a1b7219	TCGA-LUAD.d4239de6-9f95-4ed8-a132-d5358c33a648.absolute_liftover.gene_level_copy_number.v36.tsv	90fb0ce320cb5be5736ccdfef2a8329c	3436172	released
0465b66a-1848-410b-8dd4-bd63cd6017b5	TCGA-LUAD.ccefc279-6a63-4f33-8986-8c4cb2413e69.absolute_liftover.gene_level_copy_number.v36.tsv	c643508c34c3263e833a0b832fc56445	3431324	released
c147a24c-fc3b-4ac4-b686-3f77838ba995	TCGA-LUAD.901a7bea-bdc8-4999-928d-f8f77ece5348.absolute_liftover.gene_level_copy_number.v36.tsv	dc7a647251d34c077fe518794c507b23	3436256	released
53f518b4-fcee-4fdc-bf5d-a848df1fda2c	TCGA-LUAD.1c9fd2d6-73f9-4852-a777-f64cde62899c.absolute_liftover.gene_level_copy_number.v36.tsv	3883ca2f69db7159ae9ec81e1798ccdf	3436370	released
ef918da2-a915-4c39-a1ff-80f1e725b9d8	TCGA-LUAD.78977eda-a503-44e9-af62-a3ccd1a1ab88.absolute_liftover.gene_level_copy_number.v36.tsv	f5104d3c0cdd11ee1101fa9600634c40	3431498	released
2584662b-2a36-4275-9634-8f39d0d425ad	TCGA-LUAD.040941a9-bc0a-4054-9d43-b8b66802d07e.absolute_liftover.gene_level_copy_number.v36.tsv	fb2db5f2f25aa1f8d05f248e66d37664	3432770	released
94d62a1a-1cc1-4c2d-9b76-d23667b03dfe	TCGA-LUAD.0bd49a1c-166b-4039-a578-50e3828130a2.absolute_liftover.gene_level_copy_number.v36.tsv	fa27b0115256a58d9851714c61ac4d32	3431237	released
3fdae8f1-b7b9-4225-a3c4-46f893329afc	TCGA-LUAD.782053a3-9974-43cb-a617-b08f9f2bf39b.absolute_liftover.gene_level_copy_number.v36.tsv	696ccbfd43c2033de91c03610c6f2529	3434543	released
00f40094-14f0-4cb5-a8ee-8d413ce9c4a2	TCGA-LUAD.56b05714-3de6-40b4-b2fd-11a38878d01d.absolute_liftover.gene_level_copy_number.v36.tsv	51e414b52b63df8969946898981229f6	3430931	released
39740ce0-a7a7-4192-85be-089824040f6f	TCGA-LUAD.c6c514a7-b395-4c46-8e37-78beada75217.absolute_liftover.gene_level_copy_number.v36.tsv	59aaee3c66457642c27562ec800a3d6f	3431390	released
b10fde5f-c05d-430f-a989-3adac013624b	TCGA-LUAD.18b29b92-40bc-4b1c-9840-19e07f974426.absolute_liftover.gene_level_copy_number.v36.tsv	3994b0a0550ccbf7aeccf29427f702eb	3432071	released
7947f065-148b-48a7-822e-2da554d5af24	TCGA-LUAD.8285cfe6-2981-4cad-9e14-43abfbe0ae95.absolute_liftover.gene_level_copy_number.v36.tsv	7bb76e61f364176b8a23f987507381c8	3432359	released
02594a1d-27f9-4195-8ad9-9a3a289b9259	TCGA-LUAD.f78feb9a-4ab0-465a-8c5d-e3a75cb1d53e.absolute_liftover.gene_level_copy_number.v36.tsv	6e6e9061bfe351932264fe75a6ec834e	3432227	released
c7bd239d-c90e-4c8a-a4d8-20bbef8eb5e4	TCGA-LUAD.ca9e17f5-c828-4b3a-a85a-65c5b2a21ca0.absolute_liftover.gene_level_copy_number.v36.tsv	b6ee0684248402f6b92639ff68dd0f08	3430616	released
ccd9201a-e5f6-4733-8ecf-fe7da1c9dda6	TCGA-LUAD.d9ab5131-2565-4318-9cac-5d0c0550ed2b.absolute_liftover.gene_level_copy_number.v36.tsv	b3f472f53403cb60a090f2e1e806aead	3431561	released
