id	filename	md5	size	state
2aa8a738-2ae6-4c7a-83ce-337fd3419e75	af7c8efb-d4db-431c-98c0-3734d75712a2.methylation_array.sesame.level3betas.txt	243c8aa4a0a4d273b198e3f88802a32a	13159817	released
04f5172a-86c4-47fc-b553-d465adbeb9af	f685f3ac-2a8b-4075-8730-0dfee1cdba12.methylation_array.sesame.level3betas.txt	5d699f75c280f2b821d6a257a82110d3	13154328	released
7537435b-e092-441c-b184-bf0d357bda5d	e084ff03-8d3e-4ccd-9630-632583445eff.methylation_array.sesame.level3betas.txt	441c10f941e50b566b4713dbd972e405	13192220	released
c57ac843-103a-43ae-9c00-dbf63beda5bb	c9145f5c-e737-43c8-b392-0643e6d1ded0.methylation_array.sesame.level3betas.txt	f23538d67190110f90f796e6e712b728	13193533	released
d51ec44a-29e6-424f-977a-515e4a8dd25e	c73e65c5-5f95-4baf-8899-f4d52cc003c1.methylation_array.sesame.level3betas.txt	2d5bd1b53ea8374e993a7fea0c2188be	13164770	released
7433085a-d10e-4597-a999-cc6d800509bd	e5419571-0fe0-4358-b803-3fd83e5d653b.methylation_array.sesame.level3betas.txt	cab9366667360d607fbfe832b1ad6b68	13174871	released
ecbf9c01-e26d-4110-91f3-9a13684b1bfc	8c15c3b6-f073-4d82-b3f6-7059af72a034.methylation_array.sesame.level3betas.txt	f35fee8db72bc163fa01ac175014c4f9	13172293	released
e6aa4c27-7c78-461a-a3c8-584ea850af77	552ac1ae-7882-454f-9f21-24bcbc9e2e62.methylation_array.sesame.level3betas.txt	9348dabf2524c2079a448fc9aae2a443	13153827	released
60fe2275-e2a2-476d-b5ad-71250de10f53	e3b0c13f-fd38-4cd5-83c8-a93e021f4290.methylation_array.sesame.level3betas.txt	e3d136fcb38666434cdb96ff4c9d8775	13012364	released
1c6bdb3f-adcd-4745-b696-002cf66a99a2	d169b349-f5a8-45ae-a716-b48d2dad126b.methylation_array.sesame.level3betas.txt	9e4e92702a1b20d4ab9bdb106aece88e	13103999	released
c364942b-3b35-462b-aa00-4e168f6148fd	60e60da6-b554-40c5-b063-fb8668d0d8b1.methylation_array.sesame.level3betas.txt	0fa5611ed38d8574376c3471c605fc8e	13164218	released
bd992f6e-cdc4-48d6-a861-46609ce92ff9	0ead614d-50fb-4df2-95fb-37c106da5833.methylation_array.sesame.level3betas.txt	9bc63984533853c3185d96d4d1e21276	13200686	released
b3315d2a-a740-412d-b3c8-3d043fdc845c	843ee035-4b34-4730-8e18-12dc95052f9b.methylation_array.sesame.level3betas.txt	47a14e1e9f8699242193708351b971ee	13163682	released
79c71d84-c186-430d-8c5f-07f37970fb85	87bc194f-3421-49ca-a9b3-5e6b448030fe.methylation_array.sesame.level3betas.txt	a78e031e2746e267efd2dd824afc42dc	13200808	released
ed21d591-7308-47db-8358-879c990a1945	25eeab89-90e2-4079-851b-3865cceb334c.methylation_array.sesame.level3betas.txt	b29d8d798c235631ea4ee5b19153c07e	13173443	released
61a227ee-8a3d-4f4b-b5a9-41e11d36d878	5ea9dff6-ff76-4d66-ac4f-6f231e77330d.methylation_array.sesame.level3betas.txt	1ce27e20d314325b2229c920517e869d	13169548	released
58eb8760-05c0-4df5-9f48-fe4bc515f6ae	0f36cc27-1690-4375-b4cd-ab3f57b574cd.methylation_array.sesame.level3betas.txt	c2106cd078d407306232c4c4a6459d60	13205589	released
956771eb-bb33-4c40-9656-7f80183329cc	32103b79-adf4-43dc-ab3f-e0fc40f3fcbe.methylation_array.sesame.level3betas.txt	2ba5b3163cc03607aeb62b0a887c8519	13086505	released
2c830ceb-c805-4410-b40d-115f5149f417	7aa09ce4-8373-40b0-a4d1-148e4eaccd55.methylation_array.sesame.level3betas.txt	54693972d0bdd56b267b7773f88cd6bb	13129170	released
4f8e99f9-a32a-4ab9-8f71-642d5db85fe9	59ded356-91a9-45d8-b2c8-c44f797c725f.methylation_array.sesame.level3betas.txt	4492879ff907833e4587f248e2f6d82b	13175478	released
682bee4f-6a44-4b3b-b282-d6edfc2265de	cc616472-f1af-428d-b468-0f45c467374e.methylation_array.sesame.level3betas.txt	ef6507ad43245b13507e2438ad521558	13189570	released
